name,stock,price,link
"Computadora Dell OptiPlex 7080 SFF, Intel Core i7-10700 2.90GHz, 8GB, 1TB, Windows 10 Pro 64-bit",70,"$20,119.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-OptiPlex-7080-SFF-Intel-Core-i7-10700-2-90GHz-8GB-1TB-Windows-10-Pro-64-bit.html
"Computadora Dell Optiplex 3080 SFF, Intel Core i5-10500 3.10GHz, 8GB, 1TB, Windows 10 Pro 64-bit + Teclado/Mouse",21,"$14,409.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-Optiplex-3080-Intel-Core-i5-10500-3-10GHz-8GB-1TB-Windows-10-Pro-64-bit.html
"Computadora Gamer Xtreme PC Gaming CM-05014, AMD Ryzen 3 Pro 2200G 3.50GHz, 8GB, 240GB SSD, FreeDOS",10,"$6,839.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05014-AMD-Ryzen-3-Pro-2200G-3-50GHz-8GB-240GB-SSD-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-3008, AMD A6 9500 3.50GHz, 8GB, 1TB, Radeon R5, FreeDOS",13,"$5,789.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-3008-AMD-A6-9500-3-50GHz-8GB-1TB-Radeon-R5-FreeDOS.html
"Computadora HP 280 G5 SFF, Intel Core i7-10700 2.90GHz, 8GB, 1TB, Windows 10 Pro 64-bit + Teclado/Mouse",99,"$16,719.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-HP-280-G5-SFF-Intel-Core-i7-10700-2-90GHz-8GB-1TB-Windows-10-Pro-64-bit-Teclado-Mouse.html
"Computadora Gamer Xtreme PC Gaming CM-05315, AMD Ryzen 3 Pro 2200G 3.60GHz, 16GB, 240GB SSD, Radeon Vega 8, FreeDOS",64,"$8,789.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05315-AMD-Ryzen-3-Pro-2200G-3-60GHz-16GB-240GB-SSD-Radeon-Vega-8-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-54108, AMD Ryzen 7 Pro 4750G 3.60GHz, 16GB, 2TB + 120GB SSD, Radeon R8 Renoir, FreeDOS",18,"$17,459.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-54108-AMD-Ryzen-7-Pro-4750G-3-60GHz-16GB-2TB-120GB-SSD-Radeon-R8-Renoir-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-30001, Intel Core i3-9100F 3.60GHz, 16GB, 2TB + 120GB SSD, NVIDIA GeForce GT 1030, FreeDOS  ―  Incluye Teclado y Mouse",30,"$12,619.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-30001-Intel-Core-i3-9100F-3-60GHz-16GB-2TB-120GB-SSD-NVIDIA-GeForce-GT-1030-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-55019, Intel Core i5-9400F 2.90GHz, 16GB, 2TB + 240GB SSD, NVIDIA GeForce GTX 1050 Ti, FreeDOS  ―  incluye Teclado y Mouse",21,"$20,379.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-55019-Intel-Core-i5-9400F-2-90GHz-16GB-2TB-240GB-SSD-NVIDIA-GeForce-GTX-1050-Ti-FreeDOS-incluye-Teclado-y-Mouse.html
"Computadora Gamer Xtreme PC Gaming CM-50038, Intel Core i7-10700KF 3.80GHz, 32GB, 1TB SSD, NVIDIA GeForce RTX 3070, Windows 10 Prueba",2,"$43,879.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-50038-Intel-Core-i7-10700KF-3-80GHz-32GB-1TB-SSD-NVIDIA-GeForce-RTX-3070-Windows-10-Prueba.html
"Computadora Gamer Xtreme PC Gaming CM-05313, Intel Core i5-9400F 2.90GHz, 16GB, 2TB + 120GB SSD, NVIDIA GeForce GTX 1650, Windows 10 Prueba",82,"$20,379.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05313-Intel-Core-i5-9400F-2-90GHz-16GB-2TB-120GB-SSD-NVIDIA-GeForce-GTX-1650-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-400, AMD Ryzen 5 3600 3.60GHz, 16GB, 1TB + 480GB SSD, NVIDIA GeForce GTX 1660, FreeDOS",13,"$27,209.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-400-AMD-Ryzen-5-3600-3-60GHz-16GB-1TB-480GB-SSD-NVIDIA-GeForce-GTX-1660-FreeDOS.html
"Computadora HP Prodesk 400 G6, Intel Core i5-10500T 2.30GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit",2,"$16,159.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-HP-Prodesk-400-G6-Intel-Core-i5-10500T-2-30GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit.html
"Computadora Gamer Xtreme PC Gaming CM-78051, AMD Ryzen 3 2200G 3.50GHz, 8GB, 1TB, WiFi, Windows 10 Prueba  ―  incluye Monitor de 22"", Audífonos, Control, Webcam, Teclado y Mouse",1,"$10,659.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-78051-AMD-Ryzen-3-2200G-3-50GHz-8GB-1TB-WiFi-Windows-10-Prueba-incluye-Monitor-de-22-Audifonos-Control-Webcam-Teclado-y-Mouse.html
"Computadora Gamer Xtreme PC Gaming CM-60073, AMD Ryzen 5 3500 3.60GHz, 16GB, 480GB SSD, NVIDIA GeForce GTX 1660 Super, Windows 10 Prueba",18,"$25,259.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-60073-AMD-Ryzen-5-3500-3-60GHz-16GB-480GB-SSD-NVIDIA-GeForce-GTX-1660-Super-Windows-10-Prueba.html
"Computadora Gamer Xtreme PC Gaming CM-05332, AMD Ryzen 3 4350G 3.80GHz, 16GB, 2TB + 120GB SSD, Radeon R6 Renoir, FreeDOS  ―  incluye Teclado y Mouse",27,"$12,619.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05332-AMD-Ryzen-3-4350G-3-80GHz-16GB-2TB-120GB-SSD-Radeon-R6-Renoir-FreeDOS-incluye-Teclado-y-Mouse.html
"Computadora Vorago SlimBay 4, Intel Celeron G5905 3.50GHz, 8GB, 120GB SSD, Endless",25,"$5,869.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Vorago-SlimBay-4-Intel-Celeron-G5905-3-50GHz-8GB-120GB-SSD-Endless.html
"Computadora Gamer Xtreme PC Gaming CM-01100, AMD Radeon 3, 3.50GHz, 8GB, 1TB, FreeDOS",40,"$6,839.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-01100-AMD-Radeon-3-3-50GHz-8GB-1TB-FreeDOS.html
"Computadora Gamer Xtreme PC Gaming CM-30017, Intel Core i7-9700 3GHz, 16GB, 480GB SSD, WiFi, Windows 10 Prueba  ―  incluye Monitor de 27"", Teclado y Mouse",23,"$19,489.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-30017-Intel-Core-i7-9700-3GHz-16GB-480GB-SSD-WiFi-Windows-10-Prueba-incluye-Monitor-de-27-Teclado-y-Mouse.html
"Computadora Dell OptiPlex 3080 SFF, Intel Core i3-10100 3.60GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit + Teclado/Mouse",23,"$13,399.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Dell-OptiPlex-3080-SFF-Intel-Core-i3-10100-3-60GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit.html
"Computadora Gamer Xtreme PC Gaming CM-05336, AMD Ryzen 5 2400G 3.60GHz, 16GB, 480GB SSD, WiFi, Windows 10 Prueba  ―  incluye Monitor de 27"", Teclado, Mouse y Audífonos",40,"$15,509.00",https://www.cyberpuerta.mx/Computadoras/PC-s-de-Escritorio/Computadora-Gamer-Xtreme-PC-Gaming-CM-05336-AMD-Ryzen-5-2400G-3-60GHz-16GB-480GB-SSD-WiFi-Windows-10-Prueba-incluye-Monitor-de-27-Teclado-Mouse-y-Audifonos.html
